Country,Continent,Dystopia Residual (Social support),Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Standard Error,Trust (Government Corruption),year
Switzerland,Europe,2.51738,1.39651,1.34951,0.66557,0.29678,1,7.587,0.94143,0.03411,0.41978,2015
Iceland,Europe,2.70201,1.30232,1.40223,0.62877,0.4363,2,7.561,0.94784,0.04884,0.14145,2015
Denmark,Europe,2.49204,1.32548,1.36058,0.64938,0.34139,3,7.527,0.87464,0.03328,0.48357,2015
Norway,Europe,2.46531,1.459,1.33095,0.66973,0.34699,4,7.522,0.88521,0.0388,0.36503,2015
Canada,North America,2.45176,1.32629,1.32261,0.63297,0.45811,5,7.427,0.90563,0.03553,0.32957,2015
Finland,Europe,2.61955,1.29025,1.31826,0.64169,0.23351,6,7.406,0.88911,0.0314,0.41372,2015
Netherlands,Europe,2.4657,1.32944,1.28017,0.61576,0.4761,7,7.378,0.89284,0.02799,0.31814,2015
Sweden,Europe,2.37119,1.33171,1.28907,0.6598,0.36262,8,7.364,0.91087,0.03157,0.43844,2015
New Zealand,Oceania,2.26425,1.25018,1.31967,0.63938,0.47501,9,7.286,0.90837,0.03371,0.42922,2015
Australia,Oceania,2.26646,1.33358,1.30923,0.65124,0.43562,10,7.284,0.93156,0.04083,0.35637,2015
Israel,Asia,3.08854,1.22857,1.22393,0.41319,0.33172,11,7.278,0.91387,0.0347,0.07785,2015
Costa Rica,North America,3.17728,0.95578,1.23788,0.63376,0.25497,12,7.226,0.86027,0.04454,0.10583,2015
Austria,Europe,2.5332,1.33723,1.29704,0.62433,0.33088,13,7.2,0.89042,0.03751,0.18676,2015
Mexico,North America,3.60214,1.02054,0.91451,0.48181,0.14074,14,7.187,0.81444,0.04176,0.21312,2015
United States,North America,2.51011,1.39451,1.24711,0.54604,0.40105,15,7.119,0.86179,0.03839,0.1589,2015
Brazil,South America,3.26001,0.98124,1.23287,0.49049,0.14574,16,6.983,0.69702,0.04076,0.17521,2015
Luxembourg,Europe,1.96961,1.56391,1.21963,0.61583,0.28034,17,6.946,0.91894,0.03499,0.37798,2015
Ireland,Europe,1.9757,1.33596,1.36948,0.61777,0.45901,18,6.94,0.89533,0.03676,0.28703,2015
Belgium,Europe,2.41484,1.30782,1.28566,0.5845,0.2225,19,6.937,0.89667,0.03595,0.2254,2015
United Arab Emirates,Asia,2.24743,1.42727,1.12575,0.64157,0.26428,20,6.901,0.80925,0.03729,0.38583,2015
United Kingdom,Europe,1.96994,1.26637,1.28548,0.59625,0.51912,21,6.867,0.90943,0.01866,0.32067,2015
Oman,Asia,2.47489,1.36011,1.08182,0.63274,0.21542,22,6.853,0.76276,0.05335,0.32524,2015
Venezuela,South America,3.19131,1.04424,1.25596,0.42908,0.05841,23,6.81,0.72052,0.06476,0.11069,2015
Singapore,Asia,1.88501,1.52186,1.02,0.54252,0.31105,24,6.798,1.02525,0.0378,0.4921,2015
